p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
DAAM2,null,null,0.9,null,0.0,DVL2,null
DAAM2,null,null,0.9,null,0.0,DVL3,null
DKK1,null,null,0.5,null,0.966,LRP6,0.299816
DKK1,null,null,0.9,null,0.0,DKK2,0.422196
DKK1,null,null,0.9,null,0.0,DKK4,null
DKK1,null,null,0.5,null,0.453,LRP5,null
DKK4,null,null,0.5,null,0.043,LRP6,0.299816
DKK4,null,null,0.5,null,0.33,LRP5,null
DVL1,null,null,0.5,null,0.0,RHOA,0.274713
DVL1,null,null,0.9,null,0.0,PRICKLE1,0.233088
DVL1,null,null,0.9,null,0.0,INVS,0.204291
DVL1,null,null,0.5,null,0.0,LRP6,0.299816
DVL1,null,null,0.5,null,0.0,WNT4,0.213563
DVL1,null,null,0.9,null,0.583,DVL2,null
DVL1,null,null,0.9,null,0.329,DVL3,null
DVL1,null,null,0.9,null,0.292,FRAT1,null
DVL1,null,null,0.9,null,0.0,FRAT2,null
DVL1,null,null,0.5,null,0.0,FZD1,null
DVL1,null,null,0.5,null,0.0,FZD2,null
DVL1,null,null,0.5,null,0.0,FZD3,null
DVL1,null,null,0.5,null,0.0,FZD6,null
DVL1,null,null,0.5,null,0.292,FZD7,null
DVL1,null,null,0.5,null,0.0,GSK3B,null
DVL1,null,null,0.5,null,0.0,LRP5,null
DVL1,null,null,0.9,null,0.0,PRICKLE2,null
DVL1,null,null,0.9,null,0.0,PRICKLE3,null
DVL1,null,null,0.9,null,0.0,PRICKLE4,null
DVL1,null,null,0.5,null,0.0,RAC2,null
DVL1,null,null,0.5,null,0.0,RAC3,null
DVL1,null,null,0.5,null,0.0,RBX1,null
DVL1,null,null,0.9,null,0.072,VANGL1,null
DVL1,null,null,0.9,null,0.072,VANGL2,null
DVL1,null,null,0.5,null,0.0,WNT1,null
DVL1,null,null,0.5,null,0.0,WNT11,null
DVL1,null,null,0.5,null,0.0,WNT3A,null
DVL1,null,null,0.5,null,0.0,WNT5A,null
DVL1,null,null,0.5,null,0.0,WNT5B,null
DVL1,null,null,0.5,null,0.0,WNT8A,null
DVL1,null,null,0.5,null,0.0,WNT8B,null
DVL2,null,null,0.5,null,0.0,RHOA,0.274713
DVL2,null,null,0.9,null,0.292,PRICKLE1,0.233088
DVL2,null,null,0.9,null,0.0,INVS,0.204291
DVL2,null,null,0.5,null,0.0,LRP6,0.299816
DVL2,null,null,0.5,null,0.0,WNT4,0.213563
DVL2,null,null,0.9,null,0.611,DVL3,null
DVL2,null,null,0.9,null,0.0,FRAT1,null
DVL2,null,null,0.9,null,0.0,FRAT2,null
DVL2,null,null,0.5,null,0.0,FZD1,null
DVL2,null,null,0.5,null,0.0,FZD2,null
DVL2,null,null,0.5,null,0.0,FZD3,null
DVL2,null,null,0.8,null,0.0,FZD4,null
DVL2,null,null,0.5,null,0.0,FZD6,null
DVL2,null,null,0.5,null,0.0,FZD7,null
DVL2,null,null,0.5,null,0.0,GSK3B,null
DVL2,null,null,0.5,null,0.0,LRP5,null
DVL2,null,null,0.9,null,0.0,PRICKLE2,null
DVL2,null,null,0.9,null,0.0,PRICKLE3,null
DVL2,null,null,0.9,null,0.0,PRICKLE4,null
DVL2,null,null,0.5,null,0.0,RAC2,null
DVL2,null,null,0.5,null,0.0,RAC3,null
DVL2,null,null,0.5,null,0.0,RBX1,null
DVL2,null,null,0.0,null,0.457,RNF43,null
DVL2,null,null,0.9,null,0.25,VANGL1,null
DVL2,null,null,0.9,null,0.17,VANGL2,null
DVL2,null,null,0.5,null,0.0,WNT1,null
DVL2,null,null,0.5,null,0.0,WNT11,null
DVL2,null,null,0.5,null,0.0,WNT3A,null
DVL2,null,null,0.8,null,0.0,WNT5A,null
DVL2,null,null,0.5,null,0.0,WNT5B,null
DVL2,null,null,0.5,null,0.0,WNT8A,null
DVL2,null,null,0.5,null,0.0,WNT8B,null
DVL2,null,null,0.0,null,0.457,ZNRF3,null
DVL3,null,null,0.5,null,0.0,RHOA,0.274713
DVL3,null,null,0.9,null,0.292,PRICKLE1,0.233088
DVL3,null,null,0.9,null,0.0,INVS,0.204291
DVL3,null,null,0.5,null,0.0,LRP6,0.299816
DVL3,null,null,0.5,null,0.0,WNT4,0.213563
DVL3,null,null,0.9,null,0.0,FRAT1,null
DVL3,null,null,0.9,null,0.0,FRAT2,null
DVL3,null,null,0.5,null,0.0,FZD1,null
DVL3,null,null,0.5,null,0.0,FZD2,null
DVL3,null,null,0.5,null,0.0,FZD3,null
DVL3,null,null,0.5,null,0.0,FZD6,null
DVL3,null,null,0.5,null,0.0,FZD7,null
DVL3,null,null,0.5,null,0.0,GSK3B,null
DVL3,null,null,0.5,null,0.0,LRP5,null
DVL3,null,null,0.9,null,0.0,PRICKLE2,null
DVL3,null,null,0.9,null,0.0,PRICKLE3,null
DVL3,null,null,0.9,null,0.0,PRICKLE4,null
DVL3,null,null,0.5,null,0.0,RAC2,null
DVL3,null,null,0.5,null,0.0,RAC3,null
DVL3,null,null,0.5,null,0.0,RBX1,null
DVL3,null,null,0.9,null,0.34,VANGL1,null
DVL3,null,null,0.9,null,0.261,VANGL2,null
DVL3,null,null,0.5,null,0.0,WNT1,null
DVL3,null,null,0.5,null,0.0,WNT11,null
DVL3,null,null,0.5,null,0.0,WNT3A,null
DVL3,null,null,0.5,null,0.0,WNT5A,null
DVL3,null,null,0.5,null,0.0,WNT5B,null
DVL3,null,null,0.5,null,0.0,WNT8A,null
DVL3,null,null,0.5,null,0.0,WNT8B,null
EP300,null,null,0.9,null,0.292,TCF7L2,0.285741
EP300,null,null,0.9,null,0.0,TCF7,0.585482
EP300,null,null,0.5,null,0.457,SMAD3,0.236565
EP300,null,null,0.0,null,0.42,NFATC2,0.251236
EP300,null,null,0.9,null,0.292,LEF1,0.22318
EP300,null,null,0.0,null,0.457,FOSL1,null
EP300,null,null,0.5,null,0.618,JUN,null
EP300,null,null,0.0,null,0.457,MYC,null
EP300,null,null,0.0,null,0.457,NFATC1,null
EP300,null,null,0.0,null,0.457,PPARD,null
EP300,null,null,0.0,null,0.457,PRKCA,null
EP300,null,null,0.5,null,0.457,SMAD4,null
EP300,null,null,0.9,null,0.0,TCF7L1,null
EP300,null,null,0.5,null,0.964,TP53,null
FBXW11,null,null,0.9,null,0.539,RBX1,null
FBXW11,null,null,0.9,null,0.958,SKP1,null
FOSL1,null,null,0.9,null,0.493,JUN,null
